Description, Type, Value
 becoming a complete gorgon, pose, gorgon, 
insisting on a point, pose, insisting, 
 making a point, pose, insisting, 
 insistently pointing and debating, pose, insisting, 
pushing a giant rock, pose, pushing a rock, 
lying down, pose, lying down, 
holding an umbrella, pose, holding umbrella, 
 holding an umbrella and pointing, pose, holding umbrella, 
introducing oneself, pose, introducing oneself, 
using an umbrella, pose, using umbrella, 
 using an umbrella to shelter from the rain, pose, using umbrella, 
shielding from the elements with an umbrella, pose, shielding with umbrella, 
eating a hamburger, pose, eating, 
 eating fast food, pose, eating, 
 enjoying a burger, pose, eating, 
eating grapes, pose, eating grapes, 
 eating bunches of grapes, pose, eating grapes, 
taking a pain killer to relieve an ache, pose, aching, 
asking a pertinent question, pose, digging deeper, 
 making a reasoned argument, pose, digging deeper, 
reacting with disbelief, pose, shrugging, 
 shrugging with indifference, pose, shrugging, 
 expressing skepticism, pose, shrugging, 
recollecting the past, pose, recollecting, 
 thinking about the consequences of a decision, pose, recollecting, 
 coming to a reasoned decision, pose, recollecting, 
 considering all of the evidence, pose, recollecting, 
stumbling with a sword, pose, blind warrior, 
falling unconscious, pose, unconscious, 
 falling into a coma, pose, unconscious, 
 blacking out on the floor, pose, unconscious, 
spraying insects with bug killer, pose, spraying bugs, 
 spraying bugs with an aerosol, pose, spraying bugs, 
being chased by mosquitos, pose, chased by mosquitos, 
 running from mosquitos, pose, chased by mosquitos, 
being chased by wasps, pose, chased by wasps, 
 running from wasps, pose, chased by wasps, 
 getting stung by wasps, pose, chased by wasps, 
 getting stung by bees, pose, chased by wasps, 
 being chased by bees, pose, chased by wasps, 
 kicking a hornet's nest, pose, chased by wasps, 
waving the flag, pose, waving flag, 
 waving the white flag, pose, waving flag, 
slogging on a hot day, pose, slogging, 
 sweating on a hot day, pose, slogging, 
 slogging and sweating, pose, slogging, 
being split in two, pose, split in two, 
 being disembowelled, pose, split in two, 
surfing a big wave, pose, surfing, 
 riding a surfboard, pose, surfing, 
feeling targeted with a bullseye, pose, targeted, 
 wearing a bullseye, pose, targeted, 
 being the centre of attention  , pose, targeted, 
nocking an arrow in a bow, pose, nocking, 
 preparing to shoot an arrow from a bow, pose, nocking, 
rollerskating, pose, rollerskating, 
 eating pizza while rollerskating, pose, rollerskating, 
 relaxing on rollerskates, pose, rollerskating, 
figure skating on ice, pose, skating, 
 going ice skating, pose, skating, 
sitting on a decorative urn, pose, sitting, 
 sitting on a Ming vase, pose, sitting, 
drinking a pint of Guinness, pose, slurping, 
 enjoying a pint of beer, pose, slurping, 
arriving with a suitcase, pose, arriving, 
 turning up with a suitcase, pose, arriving, 
 waving while carrying a suitcase, pose, arriving, 
making a tempting offer, pose, tempting, 
 being seductively tempting, pose, tempting, 
 tempting someover over to the dark side, pose, tempting, 
 making an offer you can't refuse, pose, tempting, 
 doing the devil's work, pose, tempting, 
watching TV, pose, watching TV, 
 watching a TV show, pose, watching TV, 
watering a plant, pose, watering, 
 tending a plant with a watering can, pose, watering, 
blowing on a dandelion, pose, spreading, 
 spreading dandelion seeds, pose, spreading, 
posing in the nude, pose, nude, 
 posing for Playboy magazine, pose, nude, 
 posing for a nude photo, pose, nude, 
being mauled by a vicious dog, pose, mauled by dog, 
fleeing the scene of the crime, pose, fleeing, 
 going on the run, pose, fleeing, 
 getting the hell out of Dodge, pose, fleeing, 
 making a run for it, pose, fleeing, 
a centaur, pose, centaur, 
bending down to see with a magnifying glass, pose, bending to see, 
sitting on a box, pose, sitting on box, 
 sitting on a crate, pose, sitting on box, 
 sitting on a packing crate, pose, sitting on box, 
sitting on a rock, pose, sitting on rock, 
turning into a hulking monster, pose, hulking, 
 turning into the incredible Hulk, pose, hulking, 
suffering from a nervous stomach, pose, rumbling, 
 suffering from a stomach ache, pose, rumbling, 
 suffering from indigestion, pose, rumbling, 
 getting a bad feeling in the gut, pose, rumbling, 
 rumbling with hunger, pose, rumbling, 
being crucified for their beliefs, pose, crucified with beard, 
feeling in a prickly mood, pose, spiky, 
 making barbed comments, pose, spiky, 
 exhibiting a spiky personality, pose, spiky, 
behaving in a suave manner, pose, suave, 
 suavely carrying an umbrella, pose, suave, 
 taking a gentlemanly stroll, pose, suave, 
attracting others, pose, attracting, 
 exuding pure magnetism, pose, attracting, 
 exuding an animal magnetism, pose, attracting, 
 cutting a very attractive figure, pose, attracting, 
stepping over a pile of dog shit, pose, stepping over, 
 stepping over a pile of poop, pose, stepping over, 
 stepping over a dog turd, pose, stepping over, 
stepping up, pose, stepping up, 
 stepping into the fray, pose, stepping up, 
stepping down, pose, stepping down, 
 putting their best foot forward, pose, stepping down, 
regaining consciousness, pose, regaining consciousness, 
 awakening from a coma, pose, regaining consciousness, 
 waking up after a long sleep, pose, regaining consciousness, 
carefully weighing all the options, pose, weighing, 
 weighing the alternatives, pose, weighing, 
taking a wild guess, pose, guessing, 
 flipping a coin, pose, guessing, 
 gambling everything on the toss of a coin, pose, guessing, 
 making a random decision, pose, guessing, 
tossing a drink away, pose, tossing drink, 
 soshing beer everywhere, pose, tossing drink, 
keeping an eye on the time, pose, timekeeping, 
 keeping one eye on the clock, pose, timekeeping, 
 watching the clock, pose, timekeeping, 
chuckling, pose, chuckling, 
 laughing maniacally, pose, chuckling, 
 having a good laugh, pose, chuckling, 
 having a belly laugh, pose, chuckling, 
 laughing heartily, pose, chuckling, 
choosing the right tool for the job, pose, handy, 
 getting ready for a job, pose, handy, 
 gathering the tools for a job, pose, handy, 
 inspecting the tools, pose, handy, 
getting ready to do battle, pose, warrior, 
 charging into battle, pose, warrior, 
 wearing armour and carrying a sword, pose, warrior, 
rowing a rowboat, pose, rowing, 
 rowing a small boat, pose, rowing, 
greeting with a smile, pose, greeting, 
 welcoming guests with a smile, pose, greeting, 
 giving a warm greeting, pose, greeting, 
sprinting at top speed, pose, sprinting, 
 running the 100 meter dash, pose, sprinting, 
 running in a foot race, pose, sprinting, 
 jogging and sweating, pose, sprinting, 
spraying paint, pose, spraying paint, 
 spraying graffiti on the wall, pose, spraying paint, 
extolling fascism, pose, hitler, 
 subjugating minorities, pose, hitler, 
 oppressing minorities, pose, hitler, 
drying hair with a blowdryer, pose, blowdrying, 
 styling hair with a blowdryer, pose, blowdrying, 
   maintaining salon-quality hair, pose, blowdrying, 
 using a hairdryer, pose, blowdrying, 
inflating a balloon, pose, blowing balloon, 
 blowup up a party balloon, pose, blowing balloon, 
 blowing a sbubble, pose, blowing balloon, 
 inflating a bubble, pose, blowing balloon, 
suffering from a terrible disease, pose, poxy, 
 suffering from a contagious disease, pose, poxy, 
 shivering with the pox, pose, poxy, 
shivering with the cold, pose, shivering, 
 coming down with a cold, pose, shivering, 
opening a tin can with a can opener, pose, opening can, 
opening a jar, pose, opening jar, 
 opening the cookie jar, pose, opening jar, 
drinking straight from the bottle, pose, drinking from bottle, 
 drinking the last drop, pose, drinking from bottle, 
looking in the mirror, pose, looking in mirror, 
 looking in the mirror while blowdrying hair, pose, looking in mirror, 
 looking in the mirror while using a blowdryer, pose, looking in mirror, 
using a kitchen blender, pose, blending, 
 making a mess with a kitchen blender, pose, blending, 
mixing and blending ingredients, pose, mixing, 
 mixing a cocktail, pose, mixing, 
 cooking up a storm, pose, mixing, 
producing a chemical reaction, pose, reacting, 
 combining chemicals to create a reaction, pose, reacting, 
 experimenting with chemicals, pose, reacting, 
falling off one's perch, pose, icarus, 
 suffering a sudden fall from grace, pose, icarus, 
 flying too close to the sun , pose, icarus, 
hobbling around on a crutch, pose, on crutch, 
 hobbling around on one leg, pose, on crutch, 
sitting in a wheelchair with two broken legs, pose, broken legs, 
 suffering from two broken legs, pose, broken legs, 
hacking into the mainframe, pose, hacking, 
 using a computer for illicit purposes , pose, hacking, 
crawling around like a tortoise, pose, tortoise, 
using a calculator, pose, calculating, 
 calculating some numbers on a calculator, pose, calculating, 
 running the numbers on a calculator, pose, calculating, 
attending a nudist colony, pose, rent a nude mob, 
having a romantic moment, pose, loving twosome, 
 cuddling and kissing, pose, loving twosome, 
holding out an olive branch, pose, holding branch, 
 holding a tree branch, pose, holding branch, 
swinging a giant club, pose, holding club, 
 brandishing a giant club, pose, holding club, 
holding a flower, pose, holding flower, 
 arriving with flowers, pose, holding flower, 
 holding a bouquet of flowers, pose, holding flower, 
 giving flowers, pose, holding flower, 
holding a fireball, pose, holding fireball, 
 holding a ball of fire, pose, holding fireball, 
 creating a fireball, pose, holding fireball, 
unleashing a whirlwind, pose, holding whirlwind, 
 holding a whirlwind, pose, holding whirlwind, 
 stirring up a whirlwind, pose, holding whirlwind, 
holding a globe of the Earth, pose, holding globe, 
 holding a map of the Earth, pose, holding globe, 
drilling for oil, pose, drilling, 
 finding oil, pose, drilling, 
mining coal, pose, mining, 
 swinging a pickaxe, pose, mining, 
 digging coal, pose, mining, 
holding a ball, pose, holding ball, 
holding a drum, pose, holding drum, 
 playing the drums, pose, holding drum, 
playing tennis, pose, playing tennis, 
 serving the ball in tennis, pose, playing tennis, 
 hitting a serve in tennis, pose, playing tennis, 
 swinging a tennis racket , pose, playing tennis, 
playing the banjo, pose, playing banjo, 
dunking a basketball, pose, dunking, 
 slamdunking a basketball, pose, dunking, 
playing the guitar, pose, playing guitar, 
playing the violin, pose, playing violin, 
eating a donut, pose, snacking, 
 eating a box of donuts, pose, snacking, 
 enjoying a snack, pose, snacking, 
giving a box of chocolates, pose, giving chocolate, 
 going down on bended knee with a box of chocolates, pose, giving chocolate, 
giving a gift, pose, gifting, 
 making origami, pose, gifting, 
 making an origami unicorn, pose, gifting, 
 giving a very special gift, pose, gifting, 
rousing the rabble, pose, rent a mob, 
 leading a mob, pose, rent a mob, 
blowing a trumpet, pose, blowing a trumpet, 
 blowing one's own horn, pose, blowing a trumpet, 
drowning in deep water, pose, drowning, 
feeling lost and confused, pose, lost, 
running on a treadmill, pose, on treadmill, 
sweating profusely, pose, sweating, 
 feeling hot and sweaty, pose, sweating, 
driving like a demon, pose, speeding, 
 breaking the speed limit, pose, speeding, 
 driving too fast, pose, speeding, 
 burning rubber and driving too fast, pose, speeding, 
getting the green light to drive on, pose, green light, 
waiting impatiently at a red light, pose, red light, 
 waiting impatiently for the lights to change, pose, red light, 
a traffic jam, setting, busy traffic in city, 
 a street clogged with cars and traffic, setting, busy traffic in city, 
polluting traffic, setting, polluting traffic, 
 a noisy traffic jam, setting, polluting traffic, 
 a traffic jam in a heavily polluted city, setting, polluting traffic, 
a class room with a blackboard and lectern, setting, classroom, 
 a college classroom, setting, classroom, 
 the front of a lecture theatre, setting, classroom, 
asdasdasdasdasdasdasdasdasdasdadadasdasdasdasd
